step     0 | loss: -0.0053 | pg: -0.0054 | kl: 0.0003 | clip: 0.007 | reward: -1.6085 | lr: 6.67e-09 | norm: 0.652 | dt: 366037ms
step     1 | loss: 0.0458 | pg: 0.0457 | kl: 0.0001 | clip: 0.004 | reward: -2.4502 | lr: 1.33e-08 | norm: 0.430 | dt: 229873ms
step     2 | loss: 0.0233 | pg: 0.0232 | kl: 0.0003 | clip: 0.005 | reward: -1.1133 | lr: 2.00e-08 | norm: 0.711 | dt: 308901ms
step     3 | loss: 0.0439 | pg: 0.0437 | kl: 0.0003 | clip: 0.004 | reward: -1.6726 | lr: 2.67e-08 | norm: 0.654 | dt: 324066ms
step     4 | loss: 0.0785 | pg: 0.0785 | kl: 0.0001 | clip: 0.005 | reward: -3.1603 | lr: 3.33e-08 | norm: 0.457 | dt: 252937ms
step     5 | loss: -0.0092 | pg: -0.0093 | kl: 0.0002 | clip: 0.006 | reward: -2.7799 | lr: 4.00e-08 | norm: 0.619 | dt: 241708ms
step     6 | loss: -0.0192 | pg: -0.0193 | kl: 0.0002 | clip: 0.005 | reward: -4.2046 | lr: 4.67e-08 | norm: 0.625 | dt: 283316ms
step     7 | loss: 0.0309 | pg: 0.0309 | kl: 0.0002 | clip: 0.005 | reward: -4.0706 | lr: 5.33e-08 | norm: 0.454 | dt: 142875ms
step     8 | loss: 0.0233 | pg: 0.0232 | kl: 0.0002 | clip: 0.005 | reward: -0.7866 | lr: 6.00e-08 | norm: 0.557 | dt: 304190ms
step     9 | loss: 0.0679 | pg: 0.0679 | kl: 0.0002 | clip: 0.006 | reward: -3.0503 | lr: 6.67e-08 | norm: 0.503 | dt: 295789ms
step    10 | loss: 0.0024 | pg: 0.0022 | kl: 0.0004 | clip: 0.006 | reward: -0.9035 | lr: 7.33e-08 | norm: 0.717 | dt: 358175ms
step    11 | loss: 0.0694 | pg: 0.0693 | kl: 0.0003 | clip: 0.008 | reward: -3.6049 | lr: 8.00e-08 | norm: 0.644 | dt: 285659ms
step    12 | loss: 0.0649 | pg: 0.0648 | kl: 0.0002 | clip: 0.005 | reward: -2.6429 | lr: 8.67e-08 | norm: 0.582 | dt: 265797ms
step    13 | loss: 0.0242 | pg: 0.0241 | kl: 0.0003 | clip: 0.006 | reward: -0.8302 | lr: 9.33e-08 | norm: 0.642 | dt: 324026ms
step    14 | loss: 0.0720 | pg: 0.0719 | kl: 0.0003 | clip: 0.009 | reward: -2.2544 | lr: 1.00e-07 | norm: 0.631 | dt: 407745ms
step    15 | loss: 0.0043 | pg: 0.0042 | kl: 0.0004 | clip: 0.006 | reward: -4.0576 | lr: 1.07e-07 | norm: 0.606 | dt: 306331ms
step    16 | loss: 0.0173 | pg: 0.0173 | kl: 0.0001 | clip: 0.004 | reward: -3.4835 | lr: 1.13e-07 | norm: 0.402 | dt: 277047ms
step    17 | loss: 0.0392 | pg: 0.0391 | kl: 0.0002 | clip: 0.003 | reward: -3.2990 | lr: 1.20e-07 | norm: 0.578 | dt: 249170ms
step    18 | loss: 0.0882 | pg: 0.0881 | kl: 0.0002 | clip: 0.006 | reward: -2.6208 | lr: 1.27e-07 | norm: 0.534 | dt: 272811ms
step    19 | loss: 0.0317 | pg: 0.0316 | kl: 0.0002 | clip: 0.006 | reward: -2.1827 | lr: 1.33e-07 | norm: 0.553 | dt: 294342ms
step    20 | loss: 0.1237 | pg: 0.1236 | kl: 0.0002 | clip: 0.006 | reward: -3.8008 | lr: 1.40e-07 | norm: 0.626 | dt: 329028ms
step    21 | loss: 0.0557 | pg: 0.0556 | kl: 0.0001 | clip: 0.005 | reward: -4.6005 | lr: 1.47e-07 | norm: 0.390 | dt: 126374ms
step    22 | loss: 0.0657 | pg: 0.0656 | kl: 0.0002 | clip: 0.006 | reward: -2.3108 | lr: 1.53e-07 | norm: 0.588 | dt: 290512ms
step    23 | loss: -0.0091 | pg: -0.0092 | kl: 0.0002 | clip: 0.007 | reward: -2.0652 | lr: 1.60e-07 | norm: 0.468 | dt: 243731ms
step    24 | loss: 0.0407 | pg: 0.0406 | kl: 0.0001 | clip: 0.007 | reward: -2.8832 | lr: 1.67e-07 | norm: 0.457 | dt: 155636ms
